grid,mediaFunction,urbanFunction
"0,0",retail and other commercial,landmarks and outdoors
"4,0",landmarks and outdoors,education
"5,0",education,landmarks and outdoors
"11,0",education,retail and other commercial
"12,0",integration and services,landmarks and outdoors
"14,0",education,education
"17,0",landmarks and outdoors,landmarks and outdoors
"4,1",retail and other commercial,landmarks and outdoors
"5,1",education,integration and services
"13,1",education,integration and services
"1,2",landmarks and outdoors,integration and services
"4,2",integration and services,integration and services
"9,2",education,education
"14,2",retail and other commercial,landmarks and outdoors
"15,2",retail and other commercial,retail and other commercial
"16,2",integration and services,integration and services
"17,2",landmarks and outdoors,education
"18,2",education,education
"0,3",retail and other commercial,integration and services
"1,3",integration and services,education
"3,3",retail and other commercial,retail and other commercial
"4,3",integration and services,retail and other commercial
"15,3",education,retail and other commercial
"0,4",retail and other commercial,landmarks and outdoors
"3,4",education,retail and other commercial
"4,4",integration and services,education
"6,4",integration and services,integration and services
"8,4",landmarks and outdoors,retail and other commercial
"9,4",integration and services,retail and other commercial
"12,4",education,retail and other commercial
"13,4",retail and other commercial,retail and other commercial
